transaction_id,date,description,amount,gross_amount,fee_amount,payment_method,payment_details,bank_name,reference,invoice_number,status,created_at
3d10e13f-2ebd-417b-8762-5a3872f6fbb8,2024-08-21,Pago Factura 0005-00001000 - Cliente Juan Fernández,87856.71,89821.46,1964.75,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000500001000,0005-00001000,Compensado,2026-08-23 01:31:22
270dbb99-328e-4227-a0bf-751bc47aea71,2024-08-17,Pago Factura 0004-00001001 - Cliente Luis López,41227.55,42730.65,1503.1,Tarjeta de Débito,Debito ending in 9012,Santander Río,FAC-000400001001,0004-00001001,Compensado,2026-08-23 01:31:22
a68ced55-5225-4768-8d58-c92060290831,2024-07-27,Pago Factura 0004-00001002 - Tienda El Progreso S.A.,514856.12,526705.15,11849.03,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000400001002,0004-00001002,Compensado,2026-08-23 01:31:22
aacb50fd-ad69-4354-a99e-991af98b29bc,2024-06-12,Pago Factura 0002-00001003 - Comercio Del Sol S.A.,58388.99,58388.99,0,Transferencia Bancaria,CBU: 0640001230000012345678,Banco Ciudad,FAC-000200001003,0002-00001003,Compensado,2026-08-23 01:31:22
90150e06-8ca7-4ab7-9f52-afcbad97f1bd,2024-08-23,Pago Factura 0005-00001004 - Empresa San Martín S.R.L.,167198.86,173041.29,5842.43,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000500001004,0005-00001004,Compensado,2026-08-23 01:31:22
8ff9170a-9880-4701-a1fa-38db29add96c,2024-07-13,Pago Factura 0002-00001005 - Cliente Luis López,415071.07,426989.47,11918.4,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000200001005,0002-00001005,Compensado,2026-08-23 01:31:22
239ee93b-f461-46af-8ce5-38be44f9d799,2024-07-29,Pago Factura 0004-00001006 - Cliente Luis Martínez,365829.75,365829.75,0,Transferencia Bancaria,CBU: 0640001230000012345678,Banco Ciudad,FAC-000400001006,0004-00001006,Compensado,2026-08-23 01:31:22
18a74486-d0d2-4bed-8504-ee713712707e,2024-06-12,Pago Factura 0004-00001007 - Cliente Luis López,203636.29,203636.29,0,Transferencia Bancaria,CBU: 0640001230000012345678,Banco Ciudad,FAC-000400001007,0004-00001007,Compensado,2026-08-23 01:31:22
7ac88a65-f5f4-4d8c-bb2c-0db91cc9bd82,2024-06-26,Pago Factura 0001-00001009 - Cliente Luis López,147377.04,153291.32,5914.28,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000100001009,0001-00001009,Compensado,2026-08-23 01:31:22
a333842e-1911-49a2-9e23-70c4b2009aa0,2024-07-11,Pago Factura 0001-00001010 - Cliente Luis Rodríguez,110805.92,110805.92,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000100001010,0001-00001010,Compensado,2026-08-23 01:31:22
c1150fa9-1983-4242-91ae-de3c41582c35,2024-06-22,Pago Factura 0002-00001011 - Comercio San Martín S.A.,66584.4,68415.31,1830.91,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000200001011,0002-00001011,Compensado,2026-08-23 01:31:22
d0f77fdd-d2f3-4a4b-ba5b-17689bb39c69,2024-07-02,Pago Factura 0001-00001012 - Empresa El Progreso ,539131.53,551623.73,12492.2,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000100001012,0001-00001012,Compensado,2026-08-23 01:31:22
cc8ed1ce-c4df-4d43-95ce-7f4bfe7023ea,2024-08-15,Pago Factura 0001-00001013 - Comercio San Martín ,17105.77,17812.63,706.86,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000100001013,0001-00001013,Compensado,2026-08-23 01:31:22
c08faa72-f44b-4d02-8837-115563ed0b66,2024-07-22,Pago Factura 0004-00001014 - Comercio San Martín S.A.,132311.42,136243.77,3932.35,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000400001014,0004-00001014,Compensado,2026-08-23 01:31:22
